pol_id,name,nickname,suffix,party
59726,Michelle Lujan Grisham,,,Dem
59740,Lee Zeldin,,,Rep
59745,Mariannette Miller-Meeks,,,Rep
59885,Marcia L. Fudge,,,Dem
59898,Alan Mark Grayson,,,Dem
59911,Michael F. Bennet,,,Dem
59914,Michael Quigley,Mike,,Dem
59919,Philip Black,Phil,,Dem
60051,Christopher J. Christie,Chris,,Rep
60075,Terence Richard McAuliffe,Terry,,Dem
60108,Mark DeSaulnier,,,Dem
60118,William Lewis Owens,Bill,,Dem
60120,Scott Philip Brown,,,Rep
60121,Martha Coakley,,,Dem
60122,Joseph Patrick Kennedy,Joe,I,Dem
60128,Theodore E. Deutch,Ted,,Dem
60158,Robert Dold,,,Rep
60165,Darrel Miller,,,Dem
60166,Adam Daniel Kinzinger,,,Rep
60204,Thomas W. Corbett,Tom,Jr.,Rep
60208,Randal Howard Paul,Rand,,Rep
60212,David Cozard,,,Dem
60215,William Flores,Bill,,Rep
60226,Rick Crawford,,,Rep
60231,John Timothy Griffin,Tim,,Rep
60238,Stephen Allen Womack,Steve,,Rep
60295,Randolph Blake Farenthold,,,Rep
60314,James B. Renacci,Jim,,Rep
60318,Scott Rigell,,,Rep
60345,Timothy Eugene Scott,Tim,,Rep
60351,Jon Daniel Runyan,,,Rep
60381,Terry Edward Branstad,,,Rep
60394,Kristi Lynn Noem,,,Rep
60410,Bruce Poliquin,,,Rep
60414,Paul Richard LePage,,,Rep
60420,Nimrata Randhawa Haley,Nikki,,Rep
60421,Larry Bucshon,,,Rep
60423,Jackie Walorski,,,Rep
60424,Todd Young,,,Rep
60428,Bill L. Johnson,,,Rep
60432,Patrick Leo Meehan,Pat,,Rep
60434,Manan Trivedi,,,Dem
60439,Steven McCarty Palazzo,,,Rep
60472,William Steve Southerland,,I,Rep
60481,Richard B. Nugent,Rich,,Rep
60527,Raul Rafael Labrador,,,Rep
60530,Charles Hatchett,,,Dem
60533,Renee Ellmers,,,Rep
60536,Dee Adcock,,,Rep
60541,George Michael Kelly,Mike,Jr.,Rep
60542,Thomas Anthony Marino,Tom,,Rep
60544,Keith James Rothfus,,,Rep
60571,Thomas Coleman Foley,Tom,,Rep
60575,Dan Debicella,,,Rep
60588,Cory Gardner,,,Rep
60601,John Wright Hickenlooper,,,Dem
60612,Art Robinson,,,Rep
60619,John Michael Mulvaney,Mick,,Rep
60628,Martha Dubina Roby,,,Rep
60629,Morris Jackson Brooks,Mo,Jr.,Rep
60639,Terrycina Andrea Sewell,Terri,,Dem
60668,Charles Duane Baker,Charlie,,Rep
60681,Harold Watson Gowdy,Trey,I,Rep
60686,Amerish Bera,Ami,,Dem
60689,Joseph John Heck,Joe,,Rep
60693,Mike Shumway Lee,,,Rep
60705,Garland Barr,Andy,,Rep
60713,Steve Carlson,,,Ind
60721,Tom Emmer,,,Rep
60735,Sean Patrick Duffy,,,Rep
60740,Ronald Harold Johnson,Ron,,Rep
60768,Michael Richard Pompeo,Mike,,Rep
60791,Robert Todd Schilling,Bobby,,Rep
60803,Arthur Henry Lieber,,,Dem
60813,Rick Vandeven,,,Oth
60848,Mark S. Reed,,,Rep
60873,John Dennis,,,Rep
60926,Nan Hayworth,,,Rep
60927,Christopher Patrick Gibson,Chris,,Rep
60935,Thomas W. Reed,Tom,I,Rep
60948,William Edward Haslam,Bill,,Rep
60964,Charles Joseph Fleischmann,Chuck,,Rep
60983,Stephen Lee Fincher,,,Rep
60986,Charlotte Bergmann,,,Rep
60997,Christopher Andrew Coons,Chris,,Dem
61002,Paul Anthony Gosar,,,Rep
61011,Dennis Heck,Denny,,Dem
61012,Suzan Kay DelBene,,,Dem
61020,Jody Hice,,,Rep
61021,William Robert Woodall,Rob,I,Rep
61040,Kelly A. Ayotte,,,Rep
61069,Daniel Joseph Benishek,Dan,,Rep
61070,Justin Amash,,,Rep
61073,Rick Snyder,,,Rep
61077,Ken Buck,,,Rep
61082,Matthew Hansen Mead,Matt,,Rep
61089,Billy Long,,,Rep
61091,Scott Eugene DesJarlais,,,Rep
61119,James Lankford,,,Rep
61145,Bruce Blakeman,,,Rep
61149,Richard Scott,Rick,,Rep
61156,Rose Izzo,,,Rep
61200,Dan Sebring,,,Rep
61201,Reid James Ribble,,,Rep
61212,Frank Guinta,,,Rep
61213,Ann McLane Kuster,,,Dem
61215,Michael Gerard Grimm,,,Rep
61251,Vincent Gray,,,Dem
61316,Rick W. Allen,,,Rep
61368,Clint B. Didier,,,Rep
61403,William Hurd,Will,,Rep
61424,Pete Gosar,,,Dem
61441,Allen Weh,,,Rep
61555,Suzanne Marie Bonamici,,,Dem
61562,John Delaney,,,Dem
61587,David Drain Wallace,Dave,I,Rep
61588,Daniel J. Bongino,Dan,,Rep
61612,Matthew A. Cartwright,Matt,,Dem
61618,Scott Gordon Perry,,,Rep
61629,Ronald Sylvester Barber,Ron,,Dem
61631,Martha E. McSally,,,Rep
61646,Bradley Scott Schneider,Brad,,Dem
61653,Dennis Anderson,,,Dem
61657,Cheri Callahan Bustos,,,Dem
61661,Jimmy Lee Tillman,,I,Rep
61675,Justin Kuhnle,,,Dem
61685,Susan Heitzman,,,Dem
61698,Susan Wiant Brooks,,,Rep
61749,Thomas Waddell Hill,Tom,,Dem
61758,Richard Lane Hudson,,Jr.,Rep
61773,Mark Randall Meadows,,,Rep
61779,George E.B. Holding,,,Rep
61791,Mark Sullivan,,,Dem
61800,Debra Strobel Fischer,Deb,,Rep
61815,Rafael Edward Cruz,Ted,,Rep
61839,Steve Bullock,,,Dem
61856,Steven Daines,Steve,,Rep
61872,Thomas Cotton,Tom,,Rep
61880,Thomas H. Massie,,,Rep
61890,Christopher Douglas Stewart,Chris,,Rep
61892,Brad Wenstrup,,,Rep
61900,James P. Cargas,,,Dem
61921,Robert 'BetoRourke, Francis O,,Dem
61942,David Alameel,,,Dem
61950,Marc Allison Veasey,,,Dem
61957,Filemon Vela,,,Dem
61980,Randy Weber,,,Rep
61985,Corey Dean Roen,,,Rep
61987,Sean Eric Lee Seibert,,,Rep
62001,John Roger Williams,,,Rep
62012,Susan Narvaiz,,,Rep
62024,Shirley Jonetta McKellar,,,Dem
62028,Jefferson Lee Byrd,,,Rep
62063,Jared William Huffman,,,Dem
62068,Kevin Cramer,,,Rep
62079,Steven Alexzander Horsford,,,Dem
62104,Gloria Bromell-Tinubu,,,Dem
62109,Hugh Thompson Rice,Tom,Jr.,Rep
62133,Patrick Erin Murphy,,,Dem
62147,William Bronson,Will,,Dem
62159,Rodney Leland Blum,Rod,,Rep
62174,Donna M. McAleer,,,Dem
62178,Mia Bourdeau Love,,,Rep
62209,Michael K. Cole,,,Dem
62226,Robert Murray,,,Dem
62229,David Valadao,,,Rep
62234,James Frederick Bridenstine,Jim,,Rep
62235,Markwayne Mullin,,,Rep
62244,Elizabeth Warren,,,Dem
62246,Hector L. Concepcion,,,Rep
62247,Nancy Wade,,,Oth
62250,William L. Enyart,Bill,Jr.,Dem
62251,Paula Bradshaw,,,Oth
62267,Robert G. Montigel,,,Dem
62270,Douglas Allen Collins,Doug,,Rep
62284,Mark Donka,,,Rep
62296,Derek Kilmer,,,Dem
62304,Grace Meng,,,Dem
62318,Sean Patrick Maloney,,,Dem
62324,Christopher Carl Collins,Chris,,Rep
62330,Mikel Weisser,Mike,,Dem
62334,Gabriela Saucedo Mercer,Gabby,,Rep
62339,Paul Cook,,,Rep
62341,Joseph McCray,,Sr.,Rep
62342,Raul Ruiz,,,Dem
62343,Eric Michael Swalwell,,,Dem
62359,Kerry Bentivolio,,,Rep
62377,Michael E. Obermueller,Mike,,Dem
62383,Rob Zerban,,,Dem
62395,Julia Brownley,,,Dem
62396,Jack Orswell,,,Rep
62399,Benjamin Campos,,,Rep
62401,David Sanchez,,,Dem
62406,Daniel Timothy Kildee,Dan,,Dem
62418,Angus Stanley King,,Jr.,Ind
62422,Bill Slantz,,,Oth
62425,Russ Lee Monchil,,,Oth
62426,James S. Evans,Jim,,Dem
62453,Kevin L. Wade,,,Rep
62534,Elizabeth Henderson Esty,,,Dem
62552,Chuck Stadler,,,Dem
62555,Theodore Scott Yoho,Ted,,Rep
62557,Ronald D. DeSantis,Ron,,Rep
62559,David P. Joyce,Dave,,Rep
62587,Richard Michael Nolan,Rick,,Dem
62589,Tulsi Gabbard,,,Dem
62590,David Crowley,Kawika,,Rep
62594,Ann Louise Wagner,,,Rep
62623,Mary Margaret Headrick,,,Dem
62653,Margaret Wood Hassan,Maggie,,Dem
62668,Matthew Moore,Matt,,Dem
62729,Matthew M. Corey,,,Rep
62734,W. John Williamson,,,Dem
62753,Eric M. Wallace,,,Rep
62783,Richard Scott Wharton,,,Dem
62785,Frederick L. Kundrata,Fred,I,Dem
62802,Jason Thomas Smith,,,Rep
62837,Johnny Tacherra,,,Rep
62844,Ronald Paul Kabat,,,Oth
62883,Peter R. Aguilar,Pete,,Dem
62900,Mark Greenberg,,,Rep
62943,Brenda Luienar Lawrence,,,Dem
62957,Wendy Rogers,,,Rep
62976,Jaime Lynn Herrera Beutler,,,Rep
62995,Wes Bradley,,,Dem
63004,Bob Ries,,,Rep
63011,Earl Everett,,,Dem
63056,Katherine Marlea Clark,,,Dem
63107,W. A. Hedge,Bill,,Dem
63109,Herschel L. Young,,,Oth
63122,Douglas Allen Enyart,Doug,,Oth
63133,Cory Anthony Booker,,,Dem
63146,Alieta R. Eck,,,Rep
63154,Burton R. LeFlore,,,Dem
63159,David Wilson Jolly,,,Rep
63169,Niko Letsos,,,Dem
63174,John Ratcliffe,,,Rep
63177,Tawana Walter-Cadien,,,Dem
63178,Michael Gene Minter,Mike,,Dem
63180,Donald Brown,Don,,Dem
63184,Nicholas Owen Haynes,Nick,,Dem
63185,James Neal Marchbanks,,,Dem
63190,Patrick Fabian McGehearty,,,Dem
63192,Marco Montoya,,,Dem
63195,Wesley Craig Reed,,,Dem
63196,John E. Walsh,,,Dem
63197,Louie Minor,,Jr.,Dem
63198,Frank Anthony Perez,,,Dem
63201,Larry Stanley Smith,,,Rep
63208,Wendy Russell Davis,,,Dem
63212,Sharon Brannigan,,,Rep
63215,Michael Mason,,,Dem
63216,Robert Bumpers,,,Rep
63218,Larry Kaifesh,,,Rep
63220,Susanne Atanus,,,Rep
63221,Darlene Senger,,,Rep
63225,Ann Callis,,,Dem
63230,Eric Thorsland,,,Dem
63231,Randall Olsen,,,Dem
63253,Bruce Rauner,,,Rep
63256,Muriel E. Bowser,,,Dem
63262,Benjamin E. Sasse,Ben,,Rep
63264,David Alan Domina,Dave,,Dem
63265,Dennis P. Crawford,,,Dem
63274,Curtis J. Clawson,Curt,,Rep
63276,April June Freeman,,,Dem
63281,Marek Tyszkiewicz,,,Dem
63284,Robert Fry,,,Dem
63287,Tom Poetter,,,Dem
63292,Richard May,,,Rep
63293,Robert Klepinger,,,Dem
63294,Mark Zetzer,,,Rep
63295,David Tibbs,,,Dem
63297,Michael Wager,,,Dem
63299,Pete Crossland,,,Dem
63304,Thomas Roland Tillis,Thom,,Rep
63311,Joseph Bock,Joe,,Dem
63317,John Dale,,,Dem
63323,Shawn A. Denney,,,Dem
63333,Tom Spangler,,,Dem
63343,Mary Michelle Nunn,,,Dem
63347,David Perdue,,,Rep
63349,Jason Carter,,,Dem
63353,Brian Reese,,,Dem
63354,Earl Leroy Carter,Buddy,,Rep
63358,Gregory Duke,,,Rep
63361,Thomas Wight,,,Dem
63362,David Vogel,,,Dem
63364,Ken Dious,,,Dem
63369,Barry Loudermilk,,,Rep
63377,Arthur Rich,,,Rep
63379,Clayton Holmes Aiken,Clay,,Dem
63381,Marshall Adame,,,Dem
63385,Joshua Brannon,Josh,,Dem
63387,Laura Fjeld,,,Dem
63389,Mark Walker,,,Rep
63395,Jonathan Barfield,,,Dem
63398,Wesley Casteen,,,Oth
63399,Antonio Blue,,,Dem
63408,Vince Coakley,,,Rep
63411,Brenda Cleary,,,Dem
63413,Tate MacQueen,,IV,Dem
63414,Patrick Henry Hays,,,Dem
63416,French Hill,,,Rep
63417,James Lee Witt,,,Dem
63418,Bruce Westerman,,,Rep
63421,Alison Case Lundergran Grimes,,,Dem
63429,Ronald Allen Leach,Ron,,Dem
63431,Michael Macfarlane,,,Rep
63432,Peter Newberry,,,Dem
63433,Elisabeth Jensen,,,Dem
63435,Natalie Tennant,,,Dem
63440,Nick Casey,,,Dem
63445,Jeffrey Bell,Jeff,,Rep
63448,Garry Wilbert Cobb,,,Rep
63450,Brad Ashford,,,Dem
63451,Mark G. Elworth,,Jr.,Oth
63457,Donald W. Norcross,,,Dem
63459,William J. Hughes,Bill,Jr.,Dem
63460,Thomas MacArthur,Tom,,Rep
63461,Aimee Belgard,,,Dem
63464,Ruben M. Scolavino,,,Dem
63465,Roy Cho,,,Dem
63466,Anthony E. Wilkinson,,,Rep
63467,Jude Anthony Tiscornia,,,Rep
63468,Dierdre G. Paul,,,Rep
63469,Yolanda Dentley,,,Rep
63474,Mark Dunec,,,Dem
63477,Janice Kovach,,,Dem
63478,Nels Mitchell,,,Dem
63485,Thomas W. Wolf,Tom,,Dem
63488,Megan Rath,,,Rep
63489,Armond James,,,Rep
63491,Dan LaVallee,,,Dem
63492,Linda Deliah Thompson,,,Dem
63494,Kerith Strano Taylor,,,Dem
63495,Richard Howard Stallings,,,Dem
63497,A.J. Balukoff,,,Dem
63501,Ryan Costello,,,Rep
63502,Mary Ellen Balchunis,,,Dem
63503,Kevin Strouse,,,Dem
63505,Alanna Hartzok,,,Dem
63508,Scott Brion,,,Dem
63509,Andy Ostrowski,,,Dem
63511,Erin McClelland,,,Dem
63512,Brendan Boyle,,,Dem
63516,Thomas D. Houghton,Tom,,Dem
63519,David Moylan,,,Rep
63524,Erick Wright,,,Dem
63525,Jesse T. Smith,,,Dem
63532,Gary Palmer,,,Rep
63538,Christopher Brian McDaniel,Chris,,Rep
63539,Ron E. Dickey,,,Dem
63542,Douglas MacArthur Magee,Doug,,Dem
63543,Dennis C. Quinn,,,Dem
63548,Monica Wehby,,,Rep
63556,Jason Yates,,,Rep
63559,Aelea Christofferson,,,Dem
63566,Joni K. Ernst,,,Rep
63574,Staci Appel,,,Dem
63579,David Young,,,Rep
63580,Jim Mowrer,,,Dem
63585,Neel Tushar Kashkari,,,Rep
63592,Heidi Hall,,,Dem
63594,Dale K. Mensing,,,Rep
63595,Dan Logue,,,Rep
63596,Arthur Moore,Art,,Rep
63598,James Hinton,,,Oth
63604,George B. Sinner,,,Dem
63605,Antonio Candia Amador,Tony,,Rep
63608,Michael Ray Eggman,,,Dem
63612,Tue Phan-Quang,,,Rep
63618,Dakin M. Sundeen,,,Rep
63619,Robin Leo Chew,,,Rep
63620,Hugh Bussell,,,Rep
63628,Richard B. Fox,,,Rep
63629,Amanda Renteria,,,Dem
63630,Suzanna Aguilera-Marrero,Sam,,Dem
63641,Steve Knight,,,Rep
63646,Steve Stokes,,,Oth
63648,William O'Callaghan Leader,,,Rep
63653,Paul Chabot,,,Rep
63656,Arturo Enrique Alas,,I,Rep
63658,Elan S. Carr,,,Rep
63666,Ted Lieu,,,Dem
63674,Michael Frese,Mike,,Rep
63676,Roxanne Lara,Rocky,,Dem
63682,Christina Marie Gagnier,,,Dem
63684,Norma J. Torres,,,Dem
63685,Brian Nestande,,,Rep
63686,R. Adam King,,,Rep
63687,Peter O. Anderson,,,Dem
63689,Steve Adams,,,Rep
63692,Timothy J. Sheridan,Tim,,Dem
63693,John Randolph Wood,,Jr.,Rep
63694,Drew E. Leavens,,,Dem
63700,Andrew Whallon,Andy,,Rep
63704,Suzanne Joyce Savary,Sue,,Dem
63706,David Peiser,Dave,,Dem
63707,James Harvey Kimber,,,Dem
63708,Stephen Meade,,,Rep
63709,Carl DeMaio,,,Rep
63715,Larry Albert Wilske,,,Rep
63720,Corinna Robinson,,,Dem
63722,Susan Wismer,,,Dem
63727,Roger Roots,,,Oth
63728,John Lewis,,,Dem
63730,Ryan Zinke,,,Rep
63733,Jason Strom,,,Oth
63734,William D. Stevenson,,,Oth
63735,Grant Lally,,,Rep
63736,Kathleen Rice,,,Dem
63739,Jose Luis Fernandez,,,Rep
63742,Nicholas S. Di Iorio,,,Rep
63745,Daniel Vila Rivera,,,Oth
63749,William Edstrom,,,Oth
63750,Christoper Day,Chris,,Rep
63751,Sean Eldridge,,,Dem
63752,James M. Fischer,Jim,,Rep
63753,Aaron Woolf,,,Dem
63754,Elise M. Stefanik,,,Rep
63755,Matthew J. Funiciello,Matt,,Oth
63757,John M. Katko,,,Rep
63758,Kathleen A. Weppner,Kathy,,Rep
63759,James 'JimDonnell, D. O,,Rep
63760,Robert Goodman,,,Dem
63772,Kristen Spees,,,Dem
63774,Erin Bilbray,,,Dem
63776,Cresent Hardy,,,Rep
63783,Joyce Dickerson,,,Dem
63788,Barbara Jo Mullis,,,Dem
63789,Tom Adams,,,Dem
63791,Anthony Culler,,,Rep
63798,Annette Teijeiro,,,Rep
63800,David Alan Brat,Dave,,Rep
63806,Shenna Bellows,,,Dem
63807,Isaac James Misiuk,,,Rep
63808,Emily Ann Cain,,,Dem
63813,Constance Nevlin Johnson,Connie,,Dem
63829,Steven Dane Russell,Steve,,Rep
63832,Robert J. Seaman,,,Oth
63833,Matthew Benjamin Silverstein,Matt,,Dem
63836,Martin H. Walsh,,,Rep
63837,George Leing,,,Rep
63840,Irving Leslie Halter,Irv,Jr.,Dem
63841,Donald G. Ytterberg,Don,,Rep
63844,Luz M. Robles,,,Dem
63845,Brian Wonnacott,,,Dem
63849,Doug Owens,,,Dem
63859,Larry Hogan,,Jr.,Rep
63860,William F. Tilghman,Bill,,Dem
63863,David Michael Banach,Dave,,Rep
63866,Charles A. Long,,,Rep
63870,Nancy Jones Hoyt,,,Rep
63872,Chris Chaffee,,,Rep
63881,Edward W. Gillespie,Ed,,Rep
63882,Suzanne D. Patrick,,,Dem
63883,Walter Lawrence Gaughan,,,Dem
63884,Jack Trammell,,,Dem
63885,Micah K. Edmond,,,Rep
63886,Barbara J. Comstock,,,Rep
63887,John Foust,,,Dem
63888,Suzanne Scholte,,,Rep
63905,Matthew Andrews,,,Oth
63911,Gina M. Raimondo,,,Dem
63912,Allan W. Fung,,,Rep
63915,Cormick Lynch,,,Rep
63918,Rhue Reis,,,Rep
63924,Walter P. Havenstein,Walt,,Rep
63933,Marilinda Joy Garcia,,,Rep
63940,Roseann Ehrhard Wofford,Ann,,Rep
63945,Seth Moulton,,,Dem
63947,John Chapman,,,Rep
63953,Mike McFadden,,,Rep
63956,Heather Johnson,,,Oth
63959,Hannah Nicollet,,,Ind
63960,Chris Holbrook,,,Oth
63961,Jim Hagedorn,,,Rep
63963,Paula Overby,,,Ind
63964,Sharon Sund,,,Dem
63965,Sharna Wahlgren,,,Rep
63966,Doug Daggett,,,Rep
63967,Lee Bauer,,,Ind
63968,Joe Perske,,,Dem
63970,John Denney,,,Ind
63971,Stewart Mills,,,Rep
63972,Ray Sandman,Skip,,Oth
63973,Dave Thomas,,,Ind
63976,Mary Burke,,,Dem
63979,Tony Kurtz,,,Rep
63983,Christopher B. Rockwood,Chris,,Dem
63984,Mark Harris,,,Dem
63987,Kelly Westlund,,,Dem
63988,Ron Gruett,,,Dem
63989,Michael P. Kokoski,,,Oth
63998,Joseph William Kent,Joe,,Oth
64037,Brian Herr,,,Rep
64039,Scott Milne,,,Rep
64041,Forrest Dunbar,,,Dem
64043,Pedro Celis,,,Rep
64047,B.J. Guillot,,,Rep
64048,Bob Dingethal,,,Dem
64058,Joseph A. Pakootas,Joe,,Dem
64060,Martin McClendon,Marty,,Rep
64063,Craig Keller,,,Rep
64064,Jason Ritchie,,,Dem
64065,Doug Basler,,,Rep
64067,Chad Taylor,,,Dem
64070,James E. Sherow,Jim,,Dem
64073,Margie Wakefield,,,Dem
64075,Kelly Kultala,,,Dem
64077,Perry Schuckman,,,Dem
64099,Jerry Cannon,,,Dem
64100,Dean Vanderstelt,,,Dem
64102,Bob Goodrich,,,Dem
64104,Jeffrey Holmes,Jeff,,Dem
64106,Allen Hardwick,,,Rep
64109,Paul Clements,,,Dem
64114,George Brikho,,,Rep
64115,David Trott,Dave,,Rep
64117,Bobby McKenzie,,,Dem
64118,Terry Bowman,,,Rep
64120,Deborah Insley Dingell,Debbie,,Dem
64121,Jeff Gorman,,,Rep
64122,Christina Conyers,,,Rep
64137,Gwen Graham,,,Dem
64139,Marihelen Wheeler,,,Dem
64142,Glo Smith,,,Rep
64145,Wesley Neuman,Wes,,Dem
64146,Gabriel Rothblatt,,,Dem
64148,Carol Platt,,,Rep
64151,Michael McKenna,,,Dem
64153,Dave Koller,,,Dem
64154,Alan Cohn,,,Dem
64155,Henry Lawrence,,,Dem
64160,Jay Bonner,,,Rep
64165,Paul Spain,,,Rep
64167,Joe Kaufman,,,Rep
64168,Dufirstson Neree,,,Rep
64170,Carlos Curbelo,,,Rep
64174,David Cox,,,Dem
64176,Lori Hopkins-Cavanagh,,,Rep
64180,James Brown,,,Rep
64182,Gordon Ball,,,Dem
64190,Lenda Sherrell,,,Dem
64197,Amos Powers,,,Dem
64199,Daniel Cramer,,,Dem
64207,Charles V. Brown,Charlie,,Dem
64258,Bill Walker,,,Oth
64262,Daniel A. Sullivan,Dan,,Rep
64286,Daniel Elder,Dan,,Rep
64289,Courtney Denton,,,Dem
64291,Steven Hendrick,,,Oth
64292,Nate Irvin,,,Dem
64298,Roy Welborn,,,Oth
64314,Norm Mosher,,,Dem
64315,Elliott Fausz,,,Dem
64317,Will Hammer,,,Oth
64318,William Carr,,,Ind
64335,James Woods,,,Dem
64356,Andrew M. Tobin,Andy,,Rep
64361,Ruben Gallego,,,Dem
64364,Doug Ducey,,,Rep
64368,Charlie Hardy,,,Dem
64388,Richard Grayson,,,Dem
64418,Amanda G. Curtis,,,Dem
64454,Mark Lester,,,Dem
64509,Ben Carson,,,Rep
